id,correct,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18
participant24,0,201,964,373,203,40,129,60,1,907,879,549,369,652,534,176,224,0,0
participant25,1,182,691,1019,69,457,117,84,0,363,826,514,710,1602,1069,985,119,0,0
participant26,1,20,408,310,148,60,2,138,0,117,205,198,162,302,363,259,97,0,0
participant27,1,134,280,113,67,6,6,83,0,14,93,393,175,443,246,499,176,0,0
participant28,1,1018,828,1228,389,39,49,61,0,278,650,346,378,866,294,306,206,22,17
participant29,0,1,275,327,377,172,115,3,0,204,317,524,572,406,570,385,581,0,0
participant3,1,221,683,372,75,2,71,46,0,442,274,299,488,110,324,116,80,0,0
participant30,0,23,1148,541,4,0,1,6,0,94,503,273,121,66,262,479,148,0,0
participant31,1,383,811,680,142,90,10,42,0,238,196,563,429,1240,509,752,338,0,0
participant32,1,27,217,522,257,103,50,2,0,325,345,859,171,392,92,201,388,0,0
participant33,1,105,268,577,6,74,13,48,0,99,654,356,92,422,127,547,306,0,0
participant34,0,55,273,1289,3,166,179,1,0,545,508,2541,190,448,418,123,131,0,0
participant35,1,341,723,230,94,35,8,2,0,381,243,558,566,353,592,501,26,0,0
participant36,0,0,0,4,38,408,133,81,0,1,51,359,138,244,202,485,304,0,0
participant37,0,346,947,304,322,176,231,49,2,405,748,205,219,242,220,42,20,0,0
participant38,0,685,1447,1144,616,214,128,81,47,627,385,177,207,312,128,176,355,17,6
participant39,0,0,0,78,21,62,14,0,0,78,31,12,138,10,26,29,0,0,0
participant4,1,574,1056,918,231,17,280,26,0,184,724,415,469,310,109,150,67,0,0
participant40,1,76,517,366,142,76,1,60,0,697,773,165,208,340,89,122,46,0,0
participant41,1,63,529,522,40,69,166,144,0,820,623,584,787,1394,572,376,142,0,0
participant42,1,3,172,238,93,84,0,0,0,107,122,49,168,148,114,308,72,0,0
participant43,1,101,153,364,913,379,22,95,0,703,244,179,36,162,182,179,13,0,0
participant44,0,58,125,359,185,6,2,1,0,710,137,582,192,564,359,530,162,0,0
participant45,1,10,85,1115,504,33,66,134,0,786,1117,1013,709,488,439,1362,584,0,0
participant46,1,14,51,148,39,8,3,6,0,138,91,42,7,123,76,139,62,0,0
participant48,1,149,856,901,98,82,74,23,0,366,232,274,148,238,90,138,127,0,0
participant5,1,89,406,610,238,56,58,116,0,87,621,574,295,377,260,366,33,0,0
participant50,1,338,571,791,366,105,286,587,0,433,163,109,44,37,55,24,15,7,0
participant51,0,56,45,82,33,131,2,58,0,144,989,370,234,205,399,357,97,0,0
participant53,1,598,653,565,295,93,63,253,0,410,446,624,606,682,162,359,274,0,0
participant54,1,93,51,912,117,217,113,28,0,1275,812,1210,825,2635,876,2364,1028,0,0
participant55,1,654,1544,563,77,46,173,6,0,849,1587,1191,611,867,388,259,61,0,0
participant56,1,0,49,252,32,193,44,70,0,346,521,738,377,610,202,356,11,0,0
participant57,1,110,531,204,87,14,1,102,0,209,193,254,305,318,307,231,78,3,0
participant58,1,0,230,423,167,265,229,181,0,1343,1455,2325,366,983,407,979,183,0,0
participant59,1,602,444,442,136,24,56,103,10,1150,1243,1528,1354,972,599,435,79,0,0
participant6,1,427,310,103,153,13,11,1,0,128,766,267,303,148,283,715,175,0,0
participant60,1,65,366,744,369,36,1,2,0,646,733,1114,227,806,946,718,251,0,0
participant61,1,149,751,1214,104,116,21,55,0,1893,891,707,413,792,296,556,203,1,0
participant62,1,101,379,264,14,237,1,3,0,27,20,187,194,391,217,341,129,0,0
participant63,1,150,496,497,589,397,481,96,0,599,614,1399,382,938,847,444,347,11,0
participant64,1,286,882,1434,290,203,403,101,8,945,1095,709,429,574,881,396,477,0,0
participant65,0,111,335,519,408,365,264,138,11,653,376,298,298,347,269,296,138,8,3
participant66,1,3,33,109,1,4,21,0,0,8,1,20,8,54,46,170,51,0,0
participant67,1,255,676,925,261,157,166,31,5,432,1008,1024,875,1181,930,527,111,0,0
participant68,0,323,664,165,45,70,12,75,0,113,163,641,415,1149,355,386,223,13,0
participant69,0,97,957,1651,548,118,5,8,27,650,340,1271,238,820,801,656,308,0,0
participant70,1,117,286,402,278,38,0,35,0,158,36,220,550,328,113,204,67,0,0
participant71,0,492,301,203,65,9,97,200,14,601,503,745,224,425,388,195,102,0,0
participant72,1,113,697,294,77,137,105,3,0,104,89,116,172,386,423,720,393,0,0
participant73,1,262,2077,412,67,74,7,8,3,671,1092,726,389,1293,509,486,275,0,0
participant74,1,69,279,524,428,3,0,60,0,363,412,319,222,399,229,208,278,0,0
participant75,1,1,365,480,113,108,589,186,0,727,771,834,343,747,294,374,82,0,0
participant76,0,204,931,597,91,78,254,267,0,563,104,108,21,35,2,4,1,0,0
participant77,1,234,758,862,474,199,260,109,1,1221,937,741,369,1519,474,370,591,0,0
participant78,0,220,402,587,148,38,28,110,0,673,949,868,469,298,483,580,327,0,0
participant79,1,214,646,821,336,260,119,85,0,1000,822,592,370,293,205,240,133,0,0
participant8,1,110,793,561,148,199,104,40,0,494,542,672,509,534,480,421,412,4,0
participant80,0,72,88,188,108,40,148,61,0,271,465,507,260,237,88,184,222,0,0
participant81,1,270,392,171,16,30,40,14,0,515,666,109,408,337,63,65,57,0,1
participant82,1,264,469,597,71,61,76,1,0,534,739,663,314,181,21,440,310,0,0
participant83,0,231,892,972,378,113,2,26,0,992,1120,476,463,790,577,564,300,0,0
participant84,1,588,817,447,170,283,65,9,0,956,1529,768,338,365,21,77,29,0,0
participant85,1,0,0,0,45,706,85,1,1,7,74,388,608,222,1397,579,181,0,0
participant86,1,584,1105,7810,378,37,2,4,0,1168,1869,926,710,1239,1054,962,278,0,0
participant87,0,162,1024,1046,179,68,2,56,0,242,284,1444,419,478,106,378,117,0,0
participant88,1,229,532,248,93,41,54,29,0,598,276,416,262,212,122,436,393,0,0
participant89,0,150,79,384,211,163,0,2,0,196,262,599,602,478,841,318,365,0,0
participant9,1,294,1145,415,101,305,40,144,0,311,224,88,3,0,0,0,0,0,0
participant90,0,0,0,0,43,3,7,2,24,236,458,506,76,34,0,0,0,0,0
participant91,1,161,769,80,47,56,48,1,0,343,629,701,187,435,505,839,482,0,0
participant92,1,102,506,614,147,85,23,44,0,223,233,85,0,0,0,0,0,0,0
participant93,0,204,331,478,72,45,2,22,0,103,137,9,33,144,85,74,92,0,0
participant94,0,288,315,281,192,200,135,27,0,45,601,340,295,6,207,6,39,0,0
participant95,1,147,330,147,57,186,299,343,3,258,61,92,114,147,70,52,6,0,0
participant96,1,490,643,699,580,350,344,27,2,2256,297,506,382,701,231,118,30,1,0
participant97,1,58,655,381,191,52,68,291,92,984,1058,528,356,267,232,277,27,0,0
participant98,0,25,126,96,37,4,137,317,0,59,105,63,56,7,10,3,0,0,0
participant99,1,36,166,224,87,161,51,10,0,449,525,777,589,378,468,131,48,0,0
